zone_name,district_name,sale_eur_m2,rent_eur_m2,source,notes
LA FONTSANTA,L'OLIVERETA,1103.0,8.6,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA LLUM,L'OLIVERETA,1322.0,8.6,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
PATRAIX,PATRAIX,1918.0,8.0,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
SANT ISIDRE,PATRAIX,1655.0,8.0,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
VARA DE QUART,PATRAIX,1616.0,7.4,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
SAFRANAR,PATRAIX,1791.0,8.0,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
FAVARA,PATRAIX,1550.0,8.0,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA RAIOSA,JESUS,1796.0,7.3,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
L'HORT DE SENABRE,JESUS,1474.0,7.9,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA CREU COBERTA,JESUS,1545.0,7.9,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
SANT MARCEL.LI,JESUS,1441.0,7.3,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
CAMI REAL,JESUS,1261.0,7.9,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
